snapshot_date,blood_type,units
2026-09-13,B+,78
2026-09-13,B-,45
2026-09-13,O+,137
2026-09-13,O-,100
2026-09-14,A+,98
2026-09-14,A-,37
2026-09-14,AB+,35
2026-09-14,AB-,30
2026-09-14,B+,78
2026-09-14,B-,38
2026-09-14,O+,127
2026-09-14,O-,100
2026-09-15,A+,88
2026-09-15,A-,37
2026-09-15,AB+,34
2026-09-15,AB-,27
2026-09-15,B+,76
2026-09-15,B-,39
2026-09-15,O+,121
2026-09-15,O-,97
2026-09-16,A+,104
2026-09-16,A-,36
2026-09-16,AB+,34
2026-09-16,AB-,30
2026-09-16,B+,72
2026-09-16,B-,40
2026-09-16,O+,132
2026-09-16,O-,96
2026-09-17,A+,89
2026-09-17,A-,37
2026-09-17,AB+,34
2026-09-17,AB-,29
2026-09-17,B+,72
2026-09-17,B-,39
2026-09-17,O+,125
2026-09-17,O-,95
2026-09-18,A+,92
2026-09-18,A-,39
2026-09-18,AB+,35
2026-09-18,AB-,30
2026-09-18,B+,70
2026-09-18,B-,38
2026-09-18,O+,120
2026-09-18,O-,91
2026-09-19,A+,100
2026-09-19,A-,38
2026-09-19,AB+,41
2026-09-19,AB-,27
2026-09-19,B+,79
2026-09-19,B-,41
2026-09-19,O+,142
2026-09-19,O-,107
2026-09-20,A+,95
2026-09-20,A-,43
2026-09-20,AB+,40
2026-09-20,AB-,35
2026-09-20,B+,81
2026-09-20,B-,42
2026-09-20,O+,142
2026-09-20,O-,103
